,Primary_Offence,Occurrence_Month,Occurrence_DayOfWeek,Occurrence_Hour,Report_Month,Report_DayOfWeek,Division,City,NeighbourhoodName,Location_Type,Premises_Type,Bike_Make,Bike_Model,Bike_Type,Bike_Speed,Bike_Colour,Cost_of_Bike,Status,Report_Lag
0,THEFT,October,Tuesday,14,October,Tuesday,22,1,Kingsway South (15),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GI,KNOWN,OT,7,BLK,700.0,0,0
1,THEFT,November,Wednesday,3,November,Wednesday,22,1,Kingsway South (15),"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN,UNKNOWN,TO,1,BLK,1100.0,1,0
2,THEFT,September,Friday,9,September,Monday,22,1,Kingsway South (15),Public Transit Hub,Transit,OT,KNOWN,MT,24,BLK,904.0,0,3
3,THEFT,May,Thursday,18,May,Thursday,22,1,Kingsway South (15),Public Transit Hub,Transit,GT,UNKNOWN,TO,10,Other,400.0,0,7
4,THEFT,May,Saturday,12,May,Saturday,22,1,Kingsway South (15),Public Transit Hub,Transit,GI,UNKNOWN,MT,6,RED,600.0,0,0
5,THEFT,September,Tuesday,0,October,Thursday,22,1,Kingsway South (15),"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Other,KNOWN,RC,18,Other,100.0,0,58
6,THEFT,February,Thursday,9,February,Thursday,22,1,Kingsway South (15),Public Transit Hub,Transit,NO,KNOWN,MT,18,WHI,0.0,0,0
7,THEFT,May,Wednesday,13,May,Monday,22,1,Kingsway South (15),Public Transit Hub,Transit,Other,UNKNOWN,OT,7,BLK,800.0,0,5
8,THEFT,September,Wednesday,8,September,Wednesday,22,1,Kingsway South (15),Public Transit Hub,Transit,UK,UNKNOWN,RG,20,BLK,700.0,0,0
9,THEFT,May,Wednesday,18,May,Wednesday,22,1,Kingsway South (15),"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,UK,KNOWN,MT,24,ONG,550.0,0,0
10,B&E,June,Saturday,12,June,Monday,22,1,Kingsway South (15),"Single Home, House (Attach Garage, Cottage, Mobile)",House,Other,UNKNOWN,RC,16,BLU,600.0,0,2
11,THEFT,July,Thursday,9,July,Monday,22,1,Kingsway South (15),"Open Areas (Lakes, Parks, Rivers)",Outside,GI,UNKNOWN,RC,50,BLK,829.0,0,4
